"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://www.sofoservis.sk/stahovanie-preprava-nabytku","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/stahovanie-preprava-nabytku","index, follow",""
"https://www.sofoservis.sk/icons/truck_icon.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/hodinovy-manzel-majster","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/hodinovy-manzel-majster","index, follow",""
"https://www.sofoservis.sk/_next/static/chunks/1517-ab94c30ec7054399.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/icons/house_icon.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/vypratavanie-pivnic-garazi-nebytovych-priestorov","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/vypratavanie-pivnic-garazi-nebytovych-priestorov","index, follow",""
"https://www.sofoservis.sk/_next/static/chunks/app/layout-a1a8c149ea712912.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Freview-avatar-3.png&w=3840&q=75","image/png","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/stahovanie-hlohovec","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/stahovanie-hlohovec","index, follow",""
"https://www.sofoservis.sk/stahovanie-levice","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/stahovanie-levice","index, follow",""
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo3.webp&w=640&q=75","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/zasady-pouzivania-cookies","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/zasady-pouzivania-cookies","index, follow",""
"https://www.sofoservis.sk/stahovanie-kancelarii-firiem","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/stahovanie-kancelarii-firiem","index, follow",""
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2FsofoClient8.webp&w=3840&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/blog","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/blog","index, follow",""
"https://www.sofoservis.sk/_next/static/chunks/7970-2d0d0ae21c946586.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fremax-logo.png&w=3840&q=75","image/png","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/stahovanie-tazkych-bremien","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/stahovanie-tazkych-bremien","index, follow",""
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Freview-avatar-2.png&w=3840&q=75","image/png","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/vypratavanie-odvoz-stareho-nabytku","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/vypratavanie-odvoz-stareho-nabytku","index, follow",""
"https://www.sofoservis.sk/stahovanie-bytov-domov","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/stahovanie-bytov-domov","index, follow",""
"https://www.sofoservis.sk/stahovanie-komarno","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/stahovanie-komarno","index, follow",""
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo2.webp&w=3840&q=75","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo7.png&w=3840&q=75","image/png","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/montaz-kuchyne","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/montaz-kuchyne","index, follow",""
"https://www.sofoservis.sk/stahovanie-galanta","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/stahovanie-galanta","index, follow",""
"https://www.sofoservis.sk/vypratavanie-bytov-domov","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.sofoservis.sk/vypratavanie-bytov-domov","index, follow",""
"https://www.sofoservis.sk/icons/briefcase_icon.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://www.sofoservis.sk/_next/static/chunks/polyfills-42372ed130431b0a.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","",""
