"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.sofoservis.sk/zasady-spracovania-osobnych-udajov","Indexable","","1","","157","157","0","64.340","39","26","0","15","11","0"
"https://www.sofoservis.sk/en/privacy-policy","Indexable","","2","","89","89","0","36.480","38","25","0","15","11","0"
