"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.sofoservis.sk/medzinarodne-stahovanie/budapest","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/belgicko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/nemecko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/brno","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/hamburg","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/stahovanie-zo-slovenska","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/dansko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/irsko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/taliansko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/polsko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/brusel","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/ceska-republika","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/amsterdam","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/francuzsko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/berlin","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/londyn","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/rakusko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/vieden","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/madarsko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/svajciarsko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/mnichov","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/anglicko","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/medzinarodne-stahovanie/varsava","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/en/moving-pezinok","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/odvoz-likvidacia-stavebneho-odpadu/bratislava","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/odvoz-likvidacia-stavebneho-odpadu/senec","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/odvoz-likvidacia-stavebneho-odpadu/galanta","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/odvoz-likvidacia-stavebneho-odpadu/hlohovec","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/odvoz-likvidacia-stavebneho-odpadu/senica","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/odvoz-likvidacia-stavebneho-odpadu/trnava","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.sofoservis.sk/odvoz-likvidacia-stavebneho-odpadu/nitra","text/html; charset=utf-8","200","OK","Indexable",""
