"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.sofoservis.sk/sluzby/montaz-nabytku","text/html","308","Permanent Redirect","Non-Indexable","Redirected","1","0.234","https://www.sofoservis.sk/montaz-nabytku","HTTP Redirect"
"https://www.sofoservis.sk/sluzby/vypratavanie-bytov","text/html","308","Permanent Redirect","Non-Indexable","Redirected","1","0.685","https://www.sofoservis.sk/vypratavanie-bytov-domov","HTTP Redirect"
"https://www.sofoservis.sk/sluzby/stahovanie-tazkych-bremien","text/html","308","Permanent Redirect","Non-Indexable","Redirected","1","0.683","https://www.sofoservis.sk/stahovanie-tazkych-bremien","HTTP Redirect"
"https://www.sofoservis.sk/sluzby/stahovanie-24-7","text/html","308","Permanent Redirect","Non-Indexable","Redirected","1","0.694","https://www.sofoservis.sk/stahovanie","HTTP Redirect"
"https://www.sofoservis.sk/sluzby/stahovanie-firiem","text/html","308","Permanent Redirect","Non-Indexable","Redirected","1","0.688","https://www.sofoservis.sk/stahovanie-kancelarii-firiem","HTTP Redirect"
"https://www.sofoservis.sk/sluzby/stahovanie-bytov","text/html","308","Permanent Redirect","Non-Indexable","Redirected","1","0.690","https://www.sofoservis.sk/stahovanie-bytov-domov","HTTP Redirect"
"https://www.sofoservis.sk/en/property-land-clearance","text/html","308","Permanent Redirect","Non-Indexable","Redirected","4","0.235","https://www.sofoservis.sk/en/property-land-junk-removal","HTTP Redirect"
"https://www.sofoservis.sk/en/basement-garage-clearance","text/html","308","Permanent Redirect","Non-Indexable","Redirected","4","0.234","https://www.sofoservis.sk/en/basement-garage-junk-removal","HTTP Redirect"
"https://www.sofoservis.sk/en/home-clearance","text/html","308","Permanent Redirect","Non-Indexable","Redirected","86","0.688","https://www.sofoservis.sk/en/home-junk-removal","HTTP Redirect"
