"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.sofoservis.sk/en/services/after-hours-moving","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.381","",""
"https://www.sofoservis.sk/en/services/business-moving","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.845","",""
"https://www.sofoservis.sk/en/services/clearance-services","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0.836","",""
"https://www.sofoservis.sk/en/services/packing-services","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.833","",""
"https://www.sofoservis.sk/en/services/furniture-assembly","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","2","0.835","",""
