"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.sofoservis.sk/icons/kitchen_icon.svg","image/svg+xml","200","OK","Indexable","","","48","","https://www.sofoservis.sk/icons/kitchen_icon.svg"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Freview-avatar-1.png&w=3840&q=75","image/png","200","OK","Indexable","","","85","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Freview-avatar-1.png&w=3840&q=75"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo6.png&w=3840&q=75","image/png","200","OK","Indexable","","","76","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo6.png&w=3840&q=75"
"https://www.sofoservis.sk/_next/static/chunks/8173-8daa947b925a4397.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","Indexable","","","107","","https://www.sofoservis.sk/_next/static/chunks/8173-8daa947b925a4397.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA"
"https://www.sofoservis.sk/icons/repair_icon.svg","image/svg+xml","200","OK","Indexable","","","47","","https://www.sofoservis.sk/icons/repair_icon.svg"
"https://www.sofoservis.sk/images/Sofoservis_nove_logo_SVG.svg","image/svg+xml","200","OK","Indexable","","","61","","https://www.sofoservis.sk/images/Sofoservis_nove_logo_SVG.svg"
"https://www.sofoservis.sk/stahovanie-malacky","text/html; charset=utf-8","200","OK","Indexable","","a20e47ee1df39279b9ee9274c4d08ea9","44","https://www.sofoservis.sk/stahovanie-malacky","https://www.sofoservis.sk/stahovanie-malacky"
"https://www.sofoservis.sk/stahovanie-piestany","text/html; charset=utf-8","200","OK","Indexable","","973cdfc5fd3a4b742c7ae54aeeb6789a","45","https://www.sofoservis.sk/stahovanie-piestany","https://www.sofoservis.sk/stahovanie-piestany"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo1.webp&w=640&q=75","image/jpeg","200","OK","Indexable","","","76","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo1.webp&w=640&q=75"
"https://www.sofoservis.sk/_next/static/css/6604ef2f8accd734.css?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","text/css; charset=utf-8","200","OK","Indexable","","","100","","https://www.sofoservis.sk/_next/static/css/6604ef2f8accd734.css?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA"
"https://www.sofoservis.sk/stahovanie","text/html; charset=utf-8","200","OK","Indexable","","4ebd3859028e343c713c9d9e3ce3cc0e","36","https://www.sofoservis.sk/stahovanie","https://www.sofoservis.sk/stahovanie"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fhomola.webp&w=3840&q=75","image/jpeg","200","OK","Indexable","","","77","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fhomola.webp&w=3840&q=75"
"https://www.sofoservis.sk/stahovanie-preprava-nabytku","text/html; charset=utf-8","200","OK","Indexable","","d0e9e9757a9a36e7aed66822d93248ac","53","https://www.sofoservis.sk/stahovanie-preprava-nabytku","https://www.sofoservis.sk/stahovanie-preprava-nabytku"
"https://www.sofoservis.sk/icons/truck_icon.svg","image/svg+xml","200","OK","Indexable","","","46","","https://www.sofoservis.sk/icons/truck_icon.svg"
"https://www.sofoservis.sk/hodinovy-manzel-majster","text/html; charset=utf-8","200","OK","Indexable","","22c27db21c04924bc2b810059beaa47b","49","https://www.sofoservis.sk/hodinovy-manzel-majster","https://www.sofoservis.sk/hodinovy-manzel-majster"
"https://www.sofoservis.sk/_next/static/chunks/1517-ab94c30ec7054399.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","Indexable","","","107","","https://www.sofoservis.sk/_next/static/chunks/1517-ab94c30ec7054399.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA"
"https://www.sofoservis.sk/icons/house_icon.svg","image/svg+xml","200","OK","Indexable","","","46","","https://www.sofoservis.sk/icons/house_icon.svg"
"https://www.sofoservis.sk/vypratavanie-pivnic-garazi-nebytovych-priestorov","text/html; charset=utf-8","200","OK","Indexable","","6b72a5e6db1e8cb9f38dd126f9ba44a7","74","https://www.sofoservis.sk/vypratavanie-pivnic-garazi-nebytovych-priestorov","https://www.sofoservis.sk/vypratavanie-pivnic-garazi-nebytovych-priestorov"
"https://www.sofoservis.sk/_next/static/chunks/app/layout-a1a8c149ea712912.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","Indexable","","","113","","https://www.sofoservis.sk/_next/static/chunks/app/layout-a1a8c149ea712912.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Freview-avatar-3.png&w=3840&q=75","image/png","200","OK","Indexable","","","85","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Freview-avatar-3.png&w=3840&q=75"
"https://www.sofoservis.sk/stahovanie-hlohovec","text/html; charset=utf-8","200","OK","Indexable","","432ab297645c3e43b987267ff5aa8685","45","https://www.sofoservis.sk/stahovanie-hlohovec","https://www.sofoservis.sk/stahovanie-hlohovec"
"https://www.sofoservis.sk/stahovanie-levice","text/html; charset=utf-8","200","OK","Indexable","","932da7db97601d6fe81cd8e9271ee4d6","43","https://www.sofoservis.sk/stahovanie-levice","https://www.sofoservis.sk/stahovanie-levice"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo3.webp&w=640&q=75","image/jpeg","200","OK","Indexable","","","76","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo3.webp&w=640&q=75"
"https://www.sofoservis.sk/zasady-pouzivania-cookies","text/html; charset=utf-8","200","OK","Indexable","","cd32721af8556acacf867efa21f33e01","51","https://www.sofoservis.sk/zasady-pouzivania-cookies","https://www.sofoservis.sk/zasady-pouzivania-cookies"
"https://www.sofoservis.sk/stahovanie-kancelarii-firiem","text/html; charset=utf-8","200","OK","Indexable","","22cf485a0cfa61c5f81e44145de0ca98","54","https://www.sofoservis.sk/stahovanie-kancelarii-firiem","https://www.sofoservis.sk/stahovanie-kancelarii-firiem"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2FsofoClient8.webp&w=3840&q=75","image/webp","200","OK","Indexable","","","82","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2FsofoClient8.webp&w=3840&q=75"
"https://www.sofoservis.sk/blog","text/html; charset=utf-8","200","OK","Indexable","","b09894ec2a7e48acb1c14efc89c9988b","30","https://www.sofoservis.sk/blog","https://www.sofoservis.sk/blog"
"https://www.sofoservis.sk/_next/static/chunks/7970-2d0d0ae21c946586.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","Indexable","","","107","","https://www.sofoservis.sk/_next/static/chunks/7970-2d0d0ae21c946586.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fremax-logo.png&w=3840&q=75","image/png","200","OK","Indexable","","","80","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fremax-logo.png&w=3840&q=75"
"https://www.sofoservis.sk/stahovanie-tazkych-bremien","text/html; charset=utf-8","200","OK","Indexable","","e2088ba9d41e48e7e196c1b7380f8263","52","https://www.sofoservis.sk/stahovanie-tazkych-bremien","https://www.sofoservis.sk/stahovanie-tazkych-bremien"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Freview-avatar-2.png&w=3840&q=75","image/png","200","OK","Indexable","","","85","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Freview-avatar-2.png&w=3840&q=75"
"https://www.sofoservis.sk/vypratavanie-odvoz-stareho-nabytku","text/html; charset=utf-8","200","OK","Indexable","","92567b330c9ba1001882914e9570cca2","60","https://www.sofoservis.sk/vypratavanie-odvoz-stareho-nabytku","https://www.sofoservis.sk/vypratavanie-odvoz-stareho-nabytku"
"https://www.sofoservis.sk/stahovanie-bytov-domov","text/html; charset=utf-8","200","OK","Indexable","","ae946ffe3e3f77600a2e1da226e01116","48","https://www.sofoservis.sk/stahovanie-bytov-domov","https://www.sofoservis.sk/stahovanie-bytov-domov"
"https://www.sofoservis.sk/stahovanie-komarno","text/html; charset=utf-8","200","OK","Indexable","","1e8f097fcec7cfd7b2bd5cc470b034b9","44","https://www.sofoservis.sk/stahovanie-komarno","https://www.sofoservis.sk/stahovanie-komarno"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo2.webp&w=3840&q=75","image/jpeg","200","OK","Indexable","","","77","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo2.webp&w=3840&q=75"
